order,peak,fsr,min,max,plate_peak,plate_min,plate_max,length_peak,length_min,length_max
77,795.9606850893,10.3371517544,790.7921092121,801.1292609666,0.001275578,0.001267295,0.001283861,8103.8961038961,8156.862745098,8051.6129032258
78,785.7560609215,10.0737956528,780.7191630951,790.792958748,0.0012592245,0.0012511525,0.0012672964,8000,8051.6129032258,7949.0445859873
79,775.8097816694,9.8203769832,770.8995931778,780.7199701609,0.0012432849,0.001235416,0.0012511538,7898.7341772152,7949.0445859873,7849.0566037736
80,766.1121593985,9.5764019925,761.3239584023,770.9003603947,0.0012277438,0.0012200704,0.0012354172,7800,7849.0566037736,7751.5527950311
81,756.6539845911,9.3414072172,751.9832809825,761.3246881997,0.0012125865,0.0012051014,0.0012200716,7703.7037037037,7751.5527950311,7656.4417177914
82,747.4264969741,9.1149572802,742.8690183341,751.9839756142,0.0011977989,0.0011904952,0.0012051025,7609.756097561,7656.4417177914,7563.6363636364
83,738.4213584564,8.896642873,733.9730370199,742.8696798929,0.0011833676,0.0011762388,0.0011904963,7518.0722891566,7563.6363636364,7473.0538922156
84,729.6306279986,8.6860789047,725.2875885462,733.9736674509,0.0011692799,0.0011623199,0.0011762399,7428.5714285714,7473.0538922156,7384.6153846154
85,721.0467382574,8.482902803,716.8052868559,725.2881896589,0.0011555236,0.0011487264,0.0011623208,7341.1764705882,7384.6153846154,7298.2456140351
86,712.6624738591,8.2867729518,708.5190873831,716.805860335,0.0011420873,0.0011354473,0.0011487273,7255.8139534884,7298.2456140351,7213.87283237
87,704.470951171,8.0973672548,700.4222675436,708.5196347985,0.0011289599,0.0011224716,0.0011354481,7172.4137931035,7213.87283237,7131.4285714286
88,696.4655994532,7.914381812,692.5084085472,700.4227903592,0.0011161308,0.0011097891,0.0011224724,7090.9090909091,7131.4285714286,7050.8474576271
89,688.6401432795,7.7375296998,684.7713784297,692.5089081294,0.00110359,0.00109739,0.0011097899,7011.2359550562,7050.8474576271,6972.0670391062
90,680.988586132,7.5665398459,677.205316209,684.771856055,0.0010913279,0.0010852649,0.0010973908,6933.3333333333,6972.0670391062,6895.0276243094
91,673.5051950756,7.4011559898,669.8046170807,677.2057730705,0.0010793352,0.0010734048,0.0010852657,6857.1428571429,6895.0276243094,6819.6721311475
92,666.1844864335,7.2411357221,662.5639185724,669.8050542945,0.0010676033,0.0010618012,0.0010734055,6782.6086956522,6819.6721311476,6745.945945946
93,659.0212123858,7.0862495955,655.478087588,662.5643371836,0.0010561237,0.0010504457,0.0010618018,6709.6774193548,6745.945945946,6673.7967914439
94,652.0103484243,6.9362803024,648.5422082731,655.4784885754,0.0010448884,0.0010393305,0.0010504463,6638.2978723404,6673.7967914439,6603.1746031746
95,645.1470815987,6.7910219116,641.751570643,648.5425925545,0.0010338896,0.001028448,0.0010393311,6568.4210526316,6603.1746031746,6534.0314136126
96,638.4267994987,6.6502791614,635.101659918,641.7519390795,0.0010231199,0.0010177911,0.0010284486,6500,6534.0314136126,6466.3212435233
97,631.8450799163,6.5138668033,628.5881465147,635.1020133179,0.0010125722,0.0010073528,0.0010177917,6432.9896907217,6466.3212435233,6400
98,625.3976811416,6.3816089912,622.206876646,628.5884856373,0.0010022399,0.0009971264,0.0010073533,6367.3469387755,6400,6335.0253807107
99,619.0805328473,6.2533387156,615.9538634895,622.2072022051,0.0009921162,0.0009871056,0.0009971269,6303.0303030303,6335.0253807107,6271.3567839196
100,612.8897275188,6.1288972752,609.8252788812,615.9541761564,0.0009821951,0.0009772841,0.0009871061,6240,6271.3567839196,6208.9552238806
101,606.8215123948,6.0081337861,603.8174455018,609.8255792879,0.0009724704,0.0009676562,0.0009772846,6178.2178217822,6208.9552238806,6147.7832512315
102,600.8722818812,5.8909047243,597.926829519,603.8177342433,0.0009629363,0.0009582161,0.0009676566,6117.6470588235,6147.7832512315,6087.8048780488
103,595.0385704066,5.7770734991,592.1500336571,597.9271071561,0.0009535875,0.0009489584,0.0009582165,6058.2524271845,6087.8048780488,6028.9855072464
